name,url,description,product_type,duration,remote_support,adaptive_support,test_type
Global Skills Development Report,https://www.shl.com/products/product-catalog/view/global-skills-development-report/," Global Skills Development Report : This report is designed to be given to individuals who have completed the Global Skills Assessment (GSA). With coverage across the Great 8 Domains, this…",Individual Test Solutions,40,Yes,Yes,"['P', 'A', 'K', 'S', 'B']"
.NET Framework 4.5,https://www.shl.com/products/product-catalog/view/net-framework-4-5/,".NET Framework 4.5: The.NET Framework 4.5 test measures knowledge of .NET environment. Designed for experienced users, this test covers the following topics: Application…",Individual Test Solutions,40,Yes,Yes,"['P', 'A', 'K', 'S', 'B']"
.NET MVC (New),https://www.shl.com/products/product-catalog/view/net-mvc-new/,".NET MVC (New): Multi-choice test that measures the knowledge of Model-View-Controller (MVC) architecture, validation, security, routing, and areas.",Individual Test Solutions,40,Yes,Yes,"['P', 'A', 'K', 'S', 'B']"
.NET MVVM (New),https://www.shl.com/products/product-catalog/view/net-mvvm-new/,".NET MVVM (New): Multi-choice test that measures the knowledge of MVVM pattern, scenarios, data validation, ViewModel communication and Quick-start.",Individual Test Solutions,40,Yes,Yes,"['P', 'A', 'K', 'S', 'B']"
.NET WCF (New),https://www.shl.com/products/product-catalog/view/net-wcf-new/,".NET WCF (New): Multi-choice test that measures the knowledge of .NET fundamentals, WCF architecture, programming model, SOA, managing and programming WCF.",Individual Test Solutions,40,Yes,Yes,"['P', 'A', 'K', 'S', 'B']"
.NET WPF (New),https://www.shl.com/products/product-catalog/view/net-wpf-new/,".NET WPF (New): Multi-choice test that measures the knowledge of .NET basics, WPF, XAML controls, events, layouts, working with WPF windows/menus and deploying WPF…",Individual Test Solutions,40,Yes,Yes,"['P', 'A', 'K', 'S', 'B']"
.NET XAML (New),https://www.shl.com/products/product-catalog/view/net-xaml-new/,".NET XAML (New): Multi-choice test that measures the knowledge of XAML triggers, data binding, custom controls and layouts.",Individual Test Solutions,40,Yes,Yes,"['P', 'A', 'K', 'S', 'B']"
Accounts Payable (New),https://www.shl.com/products/product-catalog/view/accounts-payable-new/,"Accounts Payable (New): Multiple-choice test that measures the knowledge of processing payables and vendor invoices, and the posting of journal entries.",Individual Test Solutions,40,Yes,Yes,"['P', 'A', 'K', 'S', 'B']"
Accounts Payable Simulation (New),https://www.shl.com/products/product-catalog/view/accounts-payable-simulation-new/,Accounts Payable Simulation (New): Simulated data entry test that measures the ability to process payables and vendor invoices.,Individual Test Solutions,40,Yes,Yes,"['P', 'A', 'K', 'S', 'B']"
Accounts Receivable (New),https://www.shl.com/products/product-catalog/view/accounts-receivable-new/,Accounts Receivable (New): Multiple-choice test that measures the knowledge of processing receivables and invoices.,Individual Test Solutions,40,Yes,Yes,"['P', 'A', 'K', 'S', 'B']"
Accounts Receivable Simulation (New),https://www.shl.com/products/product-catalog/view/accounts-receivable-simulation-new/,Accounts Receivable Simulation (New): Simulated data entry test that measures the ability to process receivables and invoices.,Individual Test Solutions,40,Yes,Yes,"['P', 'A', 'K', 'S', 'B']"
ADO.NET (New),https://www.shl.com/products/product-catalog/view/ado-net-new/,"ADO.NET (New): Multi-choice test that measures the knowledge on the concepts of ADO.NET architecture, components and data provider objects.",Individual Test Solutions,40,Yes,Yes,"['P', 'A', 'K', 'S', 'B']"
Adobe Experience Manager (New),https://www.shl.com/products/product-catalog/view/adobe-experience-manager-new/,"Adobe Experience Manager (New): Multi-choice test that measures the knowledge of AEM components, templates, workflows, AEM collections, OSGi services and troubleshooting of AEM projects.",Individual Test Solutions,40,Yes,Yes,"['P', 'A', 'K', 'S', 'B']"
Adobe Photoshop CC,https://www.shl.com/products/product-catalog/view/adobe-photoshop-cc/,"Adobe Photoshop CC: The Adobe Photoshop CC test measures knowledge of Adobe Photoshop CC. Designed for experienced users, this test covers the following topics: 3D, Color, File…",Individual Test Solutions,40,Yes,Yes,"['P', 'A', 'K', 'S', 'B']"
Aeronautical Engineering (New),https://www.shl.com/products/product-catalog/view/aeronautical-engineering-new/,"Aeronautical Engineering (New): Multi-choice test that measures the knowledge of flight mechanics, space dynamics, aerodynamics, structures and propulsion.",Individual Test Solutions,40,Yes,Yes,"['P', 'A', 'K', 'S', 'B']"
Aerospace Engineering (New),https://www.shl.com/products/product-catalog/view/aerospace-engineering-new/,"Aerospace Engineering (New): Multi-choice test that measures the conceptual knowledge of aerodynamics, aircraft systems and instrumentation, flight dynamics, space dynamics and avionics.",Individual Test Solutions,40,Yes,Yes,"['P', 'A', 'K', 'S', 'B']"
Agile Software Development,https://www.shl.com/products/product-catalog/view/agile-software-development/,"Agile Software Development: Multi-choice test that measures the knowledge of agile methodology, scrum, feature driven software development, incremental and iterative development and…",Individual Test Solutions,40,Yes,Yes,"['P', 'A', 'K', 'S', 'B']"
Agile Testing (New),https://www.shl.com/products/product-catalog/view/agile-testing-new/,"Agile Testing (New): Multi-choice test that measures the knowledge of tools, techniques and processes involved in the Agile testing methodology.",Individual Test Solutions,40,Yes,Yes,"['P', 'A', 'K', 'S', 'B']"
AI Skills,https://www.shl.com/products/product-catalog/view/ai-skills/,AI Skills : The AI Skills assessment measures the skills that help candidates successfully leverage AI in their work.,Individual Test Solutions,40,Yes,Yes,"['P', 'A', 'K', 'S', 'B']"
Amazon Web Services (AWS) Development (New),https://www.shl.com/products/product-catalog/view/amazon-web-services-aws-development-new/,"Amazon Web Services (AWS) Development (New): Multi-choice test that measures the knowledge of AWS delivery process, monitoring, metrics, logging, security, validation and scalability.",Individual Test Solutions,40,Yes,Yes,"['P', 'A', 'K', 'S', 'B']"
Android Development (New),https://www.shl.com/products/product-catalog/view/android-development-new/,"Android Development (New): Multi-choice test that measures the knowledge of UI components for an Android device, services and alerts, animation and media apps, application components…",Individual Test Solutions,40,Yes,Yes,"['P', 'A', 'K', 'S', 'B']"
Angular 6 (New),https://www.shl.com/products/product-catalog/view/angular-6-new/,"Angular 6 (New): Multi-choice test that measures the knowledge of the basic components and modules of Angular 6 and concepts like data binding, dependency injection, CRUD with…",Individual Test Solutions,40,Yes,Yes,"['P', 'A', 'K', 'S', 'B']"
AngularJS (New),https://www.shl.com/products/product-catalog/view/angularjs-new/,"AngularJS (New): Multi-choice test that measures the knowledge of AngularJS architecture, forms, directives, filters, controllers, routing and testing.",Individual Test Solutions,40,Yes,Yes,"['P', 'A', 'K', 'S', 'B']"
Apache Hadoop (New),https://www.shl.com/products/product-catalog/view/apache-hadoop-new/,"Apache Hadoop (New): Multi-choice test that measures the knowledge of basic concepts of Hadoop, commands, HDFS and MapReduce.",Individual Test Solutions,40,Yes,Yes,"['P', 'A', 'K', 'S', 'B']"
Apache Hadoop Extensions (New),https://www.shl.com/products/product-catalog/view/apache-hadoop-extensions-new/,"Apache Hadoop Extensions (New): Multi-choice test that measures the conceptual knowledge of Pig, Hive and HBase.",Individual Test Solutions,40,Yes,Yes,"['P', 'A', 'K', 'S', 'B']"
Apache HBase (New),https://www.shl.com/products/product-catalog/view/apache-hbase-new/,"Apache HBase (New): Multi-choice test that measures the knowledge of HBase concepts such as CAP theorem, ACID properties, HBase client API, MapReduce integration, configuration…",Individual Test Solutions,40,Yes,Yes,"['P', 'A', 'K', 'S', 'B']"
Apache Hive (New),https://www.shl.com/products/product-catalog/view/apache-hive-new/,"Apache Hive (New): Multi-choice test that measures the knowledge of Hive architecture, datatypes, built-in functions, configurations, partitioning, bucketing and commands of Hive…",Individual Test Solutions,40,Yes,Yes,"['P', 'A', 'K', 'S', 'B']"
Apache Kafka (New),https://www.shl.com/products/product-catalog/view/apache-kafka-new/,"Apache Kafka (New): Multi-choice test that measures the knowledge of Apache Kafka architecture, components, clusters, performance tuning and advanced operations.",Individual Test Solutions,40,Yes,Yes,"['P', 'A', 'K', 'S', 'B']"
Apache Pig (New),https://www.shl.com/products/product-catalog/view/apache-pig-new/,"Apache Pig (New): Multi-choice test that measures the knowledge of Pig architecture, built-in operators, built-in functions and commands in PigLatin.",Individual Test Solutions,40,Yes,Yes,"['P', 'A', 'K', 'S', 'B']"
Apache Spark (New),https://www.shl.com/products/product-catalog/view/apache-spark-new/,"Apache Spark (New): Multi-choice test that measures the knowledge of Apache Spark principles, RDD operations - actions and transformations, lineage graphs and lazy evaluation.",Individual Test Solutions,40,Yes,Yes,"['P', 'A', 'K', 'S', 'B']"
ASP .NET with C# (New),https://www.shl.com/products/product-catalog/view/asp-net-with-c-new/,"ASP .NET with C# (New): Multi-choice test that measures the knowledge of .NET framework and controls, C# fundamentals, OOPs concepts and advanced topics such as data access…",Individual Test Solutions,40,Yes,Yes,"['P', 'A', 'K', 'S', 'B']"
ASP.NET 4.5,https://www.shl.com/products/product-catalog/view/asp-net-4-5/,"ASP.NET 4.5: The ASP.NET 4.5 test measures knowledge of programming in the ASP.NET environment. Designed for experienced developers, but an average performer in this role…",Individual Test Solutions,40,Yes,Yes,"['P', 'A', 'K', 'S', 'B']"
Assessment and Development Center Exercises,https://www.shl.com/products/product-catalog/view/assessment-and-development-center-exercises/,"Assessment and Development Center Exercises: SHL offers a comprehensive range of Assessment and Development Centre exercise in digital format, for remote assessment through our Virtual Assessment and…",Individual Test Solutions,40,Yes,Yes,"['P', 'A', 'K', 'S', 'B']"
Automata - Fix (New),https://www.shl.com/products/product-catalog/view/automata-fix-new/,"Automata - Fix (New): A simulated compiler integrated test to measure debugging skills in C, C++ and Java. The test checks the ability to fix logical or syntactical errors and to…",Individual Test Solutions,40,Yes,Yes,"['P', 'A', 'K', 'S', 'B']"
Automata - SQL (New),https://www.shl.com/products/product-catalog/view/automata-sql-new/,"Automata - SQL (New): A simulated query writing test that measures the ability to write SQL queries to perform DDL, DML and DCL tasks.",Individual Test Solutions,40,Yes,Yes,"['P', 'A', 'K', 'S', 'B']"
Automata (New),https://www.shl.com/products/product-catalog/view/automata-new/,Automata (New): An AI-powered coding simulation assessment that evaluates candidate’s programming ability. Offers a familiar IDE environment available in over 40 different…,Individual Test Solutions,40,Yes,Yes,"['P', 'A', 'K', 'S', 'B']"
Automata Data Science (New),https://www.shl.com/products/product-catalog/view/automata-data-science-new/,Automata Data Science (New): A simulated test that measures the ability to analyze and modify data using machine learning algorithms to obtain desirable results.,Individual Test Solutions,40,Yes,Yes,"['P', 'A', 'K', 'S', 'B']"
Automata Data Science Pro (New),https://www.shl.com/products/product-catalog/view/automata-data-science-pro-new/,Automata Data Science Pro (New): A simulated test that measures the ability to analyze and modify data using machine learning algorithms to obtain desirable results.,Individual Test Solutions,40,Yes,Yes,"['P', 'A', 'K', 'S', 'B']"
Automata Front End,https://www.shl.com/products/product-catalog/view/automata-front-end/,"Automata Front End: Simulation based test that measures the front-end development capabilities using HTML, CSS, and  JavaScript. The candidate is provided with 3 different…",Individual Test Solutions,40,Yes,Yes,"['P', 'A', 'K', 'S', 'B']"
Automata Pro (New),https://www.shl.com/products/product-catalog/view/automata-pro-new/,Automata Pro (New): An AI-powered coding simulation assessment that evaluates candidate’s programming ability. Offers a familiar IDE environment available in over 40 different…,Individual Test Solutions,40,Yes,Yes,"['P', 'A', 'K', 'S', 'B']"
Automata Selenium,https://www.shl.com/products/product-catalog/view/automata-selenium/,Automata Selenium: A coding simulation assessment that evaluates the ability to conduct tasks related to automation testing using Selenium scripts.,Individual Test Solutions,40,Yes,Yes,"['P', 'A', 'K', 'S', 'B']"
Automation Anywhere RPA Development (New),https://www.shl.com/products/product-catalog/view/automation-anywhere-rpa-development-new/,"Automation Anywhere RPA Development (New): Multi-choice test that measures the knowledge of Automation Anywhere dash board and task editor, control room, key commands, bots and Automation Anywhere…",Individual Test Solutions,40,Yes,Yes,"['P', 'A', 'K', 'S', 'B']"
Automotive Engineering (New),https://www.shl.com/products/product-catalog/view/automotive-engineering-new/,"Automotive Engineering (New): Multi-choice test that measures the knowledge of auto engine classification, engine fuel system, auto-vehicle technology, maintenance, inspection and…",Individual Test Solutions,40,Yes,Yes,"['P', 'A', 'K', 'S', 'B']"
Basic Biology (New),https://www.shl.com/products/product-catalog/view/basic-biology-new/,Basic Biology (New): Multi choice test that measures the candidate's basic understanding of Biology.,Individual Test Solutions,40,Yes,Yes,"['P', 'A', 'K', 'S', 'B']"
Basic Computer Literacy (Windows 10) (New),https://www.shl.com/products/product-catalog/view/basic-computer-literacy-windows-10-new/,"Basic Computer Literacy (Windows 10) (New): The Basic Computer Literacy (Windows 10) simulation measures knowledge of general computer terminology, processes, and applications and the ability to perform…",Individual Test Solutions,40,Yes,Yes,"['P', 'A', 'K', 'S', 'B']"
Basic Statistics (New),https://www.shl.com/products/product-catalog/view/basic-statistics-new/,"Basic Statistics (New): Multi-choice test that measures the knowledge of statistical methods, exploratory analysis, basics of probability, standard distributions and statistical…",Individual Test Solutions,40,Yes,Yes,"['P', 'A', 'K', 'S', 'B']"
Biochemistry (New),https://www.shl.com/products/product-catalog/view/biochemistry-new/,"Biochemistry (New): Multi-choice test that measures the knowledge of various bio-molecules like amino acids, proteins, enzymes, carbohydrates, vitamins and nucleic acids, and…",Individual Test Solutions,40,Yes,Yes,"['P', 'A', 'K', 'S', 'B']"
Biotech Lab Techniques (New),https://www.shl.com/products/product-catalog/view/biotech-lab-techniques-new/,"Biotech Lab Techniques (New): Multi-choice test that measures the knowledge of biophysical techniques, bio-processing and separation techniques like chromatography and electrophoresis.",Individual Test Solutions,40,Yes,Yes,"['P', 'A', 'K', 'S', 'B']"
BizTalk (New),https://www.shl.com/products/product-catalog/view/biztalk-new/,"BizTalk (New): Multi-choice test that measures the knowledge of BizTalk architecture, pipelines, adapters, business process techniques and BizTalk administration.",Individual Test Solutions,40,Yes,Yes,"['P', 'A', 'K', 'S', 'B']"
Business Communication (adaptive),https://www.shl.com/products/product-catalog/view/business-communication-adaptive/,Business Communication (adaptive): This is an adaptive test that measures knowledge of communicating in the workplace. It measures the skills necessary to communicate effectively with coworkers…,Individual Test Solutions,40,Yes,Yes,"['P', 'A', 'K', 'S', 'B']"
Business Communications,https://www.shl.com/products/product-catalog/view/business-communications/,Business Communications: This test measures the candidate's knowledge of communicating in the workplace.  It measures the skills necessary to communicate effectively with coworkers at…,Individual Test Solutions,40,Yes,Yes,"['P', 'A', 'K', 'S', 'B']"
C Programming (New),https://www.shl.com/products/product-catalog/view/c-programming-new/,"C Programming (New): Multi-choice test that measures the knowledge of C programming basics, functions, arrays, composed data types, and advanced C concepts like SLF, file handling…",Individual Test Solutions,40,Yes,Yes,"['P', 'A', 'K', 'S', 'B']"
C# Programming (New),https://www.shl.com/products/product-catalog/view/c-programming-new-4039/,"C# Programming (New): Multi-choice test that measures the knowledge of C# programming structure, functions, collections, enumeration, exception handling, OOPs constructs…",Individual Test Solutions,40,Yes,Yes,"['P', 'A', 'K', 'S', 'B']"
C++ Programming (New),https://www.shl.com/products/product-catalog/view/c-programming-new-4122/,C++ Programming (New): Multi-choice test that measures the knowledge of programming in the C++ language and the ability to use the C++ standard library to write code.,Individual Test Solutions,40,Yes,Yes,"['P', 'A', 'K', 'S', 'B']"
Cardiology and Diabetes Management (New),https://www.shl.com/products/product-catalog/view/cardiology-and-diabetes-management-new/,"Cardiology and Diabetes Management (New): Multi-choice test that measures the knowledge of how to control and manage cardiovascular diseases and diabetes, and understanding of the diagnostic tests used…",Individual Test Solutions,40,Yes,Yes,"['P', 'A', 'K', 'S', 'B']"
Ceramic Engineering (New),https://www.shl.com/products/product-catalog/view/ceramic-engineering-new/,"Ceramic Engineering (New): Multi-choice test that measures the knowledge of classification of ceramic materials, production of ceramics and thermodynamics.",Individual Test Solutions,40,Yes,Yes,"['P', 'A', 'K', 'S', 'B']"
Chemical Engineering (New),https://www.shl.com/products/product-catalog/view/chemical-engineering-new/,"Chemical Engineering (New): Multi-choice test that measures the conceptual knowledge of transport phenomena, chemical process engineering and technology, chemical process principles…",Individual Test Solutions,40,Yes,Yes,"['P', 'A', 'K', 'S', 'B']"
Cisco AppDynamics (New),https://www.shl.com/products/product-catalog/view/cisco-appdynamics-new/,"Cisco AppDynamics (New): Multi-choice test that measures the knowledge of application analytics, performance management, and AppDynamics essentials like controller UI, custom…",Individual Test Solutions,40,Yes,Yes,"['P', 'A', 'K', 'S', 'B']"
Civil Engineering (New),https://www.shl.com/products/product-catalog/view/civil-engineering-new/,"Civil Engineering (New): Multi-choice test that measures the knowledge of structural engineering, transportation engineering, surveying, geotechnical engineering and water resources…",Individual Test Solutions,40,Yes,Yes,"['P', 'A', 'K', 'S', 'B']"
Cloud Computing (New),https://www.shl.com/products/product-catalog/view/cloud-computing-new/,"Cloud Computing (New): Multi-choice test that measures the knowledge of cloud computing concepts, cloud service models, virtualization and private clouds.",Individual Test Solutions,40,Yes,Yes,"['P', 'A', 'K', 'S', 'B']"
COBOL Programming (New),https://www.shl.com/products/product-catalog/view/cobol-programming-new/,"COBOL Programming (New): Multi-choice test that measures the knowledge of COBOL programming fundamentals, programming structure and different types of application processing.",Individual Test Solutions,40,Yes,Yes,"['P', 'A', 'K', 'S', 'B']"
Computer Science (New),https://www.shl.com/products/product-catalog/view/computer-science-new/,"Computer Science (New): Multi-choice test that measures the knowledge of operating system, computer architecture, DBMS and basics of computer networks and communication.",Individual Test Solutions,40,Yes,Yes,"['P', 'A', 'K', 'S', 'B']"
Contact Center Call Simulation (New),https://www.shl.com/products/product-catalog/view/contact-center-call-simulation-new/,Contact Center Call Simulation (New): Simulation based test that measures the ability to handle customer concerns over a call by referring to standard process documents. It also measures typing and…,Individual Test Solutions,40,Yes,Yes,"['P', 'A', 'K', 'S', 'B']"
Conversational Multichat Simulation,https://www.shl.com/products/product-catalog/view/conversational-multichat-simulation/,Conversational Multichat Simulation : This is a simulation-based test that measures the ability to handle customer concerns over multiple chats by referring to standard process documents. It…,Individual Test Solutions,40,Yes,Yes,"['P', 'A', 'K', 'S', 'B']"
Core Java (Advanced Level) (New),https://www.shl.com/products/product-catalog/view/core-java-advanced-level-new/,"Core Java (Advanced Level) (New): Multi-choice test that measures the knowledge of basic Java constructs, OOP concepts, files and exception handling, and advanced Java concepts like generics…",Individual Test Solutions,40,Yes,Yes,"['P', 'A', 'K', 'S', 'B']"
Core Java (Entry Level) (New),https://www.shl.com/products/product-catalog/view/core-java-entry-level-new/,"Core Java (Entry Level) (New): Multi-choice test that measures the knowledge of basic Java constructs, OOP concepts, file handling, exception handling, threads, generic class and inner class.",Individual Test Solutions,40,Yes,Yes,"['P', 'A', 'K', 'S', 'B']"
Count Out The Money,https://www.shl.com/products/product-catalog/view/count-out-the-money/,Count Out The Money: The Count out the Money –US test measures a candidate’s money handling ability. This test is designed for entry-level positions where handling money is…,Individual Test Solutions,40,Yes,Yes,"['P', 'A', 'K', 'S', 'B']"
CSS3 (New),https://www.shl.com/products/product-catalog/view/css3-new/,CSS3 (New): Multi-choice test that measures the knowledge of CSS3 and its application in providing style to web documents.,Individual Test Solutions,40,Yes,Yes,"['P', 'A', 'K', 'S', 'B']"
Culinary Skills (New),https://www.shl.com/products/product-catalog/view/culinary-skills-new/,"Culinary Skills (New): Multi-choice test that measures the knowledge of cooking principles, cooking equipment, meal preparation and presentation, and kitchen safety.",Individual Test Solutions,40,Yes,Yes,"['P', 'A', 'K', 'S', 'B']"
Customer Service Phone Simulation,https://www.shl.com/products/product-catalog/view/customer-service-phone-simulation/,"Customer Service Phone Simulation: As part of Contact Center Simulations, the Customer Service Phone Simulation is designed for entry-level positions in a contact center environment. Sample…",Individual Test Solutions,40,Yes,Yes,"['P', 'A', 'K', 'S', 'B']"
Customer Service Phone Solution,https://www.shl.com/products/product-catalog/view/customer-service-phone-solution/,"Customer Service Phone Solution: As part of Contact Center Simulations, the Customer Service Phone Solution includes a contact center simulation and two behavioral tests designed to measure a…",Individual Test Solutions,40,Yes,Yes,"['P', 'A', 'K', 'S', 'B']"
Cyber Risk (New),https://www.shl.com/products/product-catalog/view/cyber-risk-new/,"Cyber Risk (New): Multi-choice test that measures the knowledge of cyber risk management, system and application security, network security and security management.",Individual Test Solutions,40,Yes,Yes,"['P', 'A', 'K', 'S', 'B']"
Data Entry (New),https://www.shl.com/products/product-catalog/view/data-entry-new/,Data Entry (New): Simulated data entry test that measures the ability to accurately transcribe data from pre-filled forms and the ability to verify pre-filled data.,Individual Test Solutions,40,Yes,Yes,"['P', 'A', 'K', 'S', 'B']"
Data Entry Alphanumeric Split Screen - US,https://www.shl.com/products/product-catalog/view/data-entry-alphanumeric-split-screen-us/,Data Entry Alphanumeric Split Screen - US: The Data Entry Alphanumeric Split Screen - US assessment measures speed and accuracy at typing text and numbers into forms. The information includes…,Individual Test Solutions,40,Yes,Yes,"['P', 'A', 'K', 'S', 'B']"
Data Entry Numeric Split Screen - US,https://www.shl.com/products/product-catalog/view/data-entry-numeric-split-screen-us/,Data Entry Numeric Split Screen - US: The Data Entry Numeric Split Screen - US assessment measures speed and accuracy at typing numbers into forms. The information candidates must enter includes…,Individual Test Solutions,40,Yes,Yes,"['P', 'A', 'K', 'S', 'B']"
Data Entry Ten Key Split Screen,https://www.shl.com/products/product-catalog/view/data-entry-ten-key-split-screen/,Data Entry Ten Key Split Screen: Data Entry Ten Key Split Screen assessment measures ability to enter numbers using a numeric keypad. The test measures accuracy and speed.,Individual Test Solutions,40,Yes,Yes,"['P', 'A', 'K', 'S', 'B']"
Data Science (New),https://www.shl.com/products/product-catalog/view/data-science-new/,"Data Science (New): Multi-choice test that measures the conceptual knowledge on how to use machine learning to analyze data, extract information, draw conclusions and make…",Individual Test Solutions,40,Yes,Yes,"['P', 'A', 'K', 'S', 'B']"
Data Warehousing Concepts,https://www.shl.com/products/product-catalog/view/data-warehousing-concepts/,"Data Warehousing Concepts: The Data Warehousing Concepts test measures knowledge of Data Warehousing. Designed for experienced users, this test covers the following topics: Big Data and…",Individual Test Solutions,40,Yes,Yes,"['P', 'A', 'K', 'S', 'B']"
Dependability and Safety Instrument (DSI),https://www.shl.com/products/product-catalog/view/dependability-and-safety-instrument-dsi/,Dependability and Safety Instrument (DSI): The DSI is a short pre-screening tool for many key entry-level roles. It is designed to identify potential employees who will have good dependability and…,Individual Test Solutions,40,Yes,Yes,"['P', 'A', 'K', 'S', 'B']"
Dermatology (New),https://www.shl.com/products/product-catalog/view/dermatology-new/,"Dermatology (New): Multi-choice test that measures the knowledge of various diseases related to skin, their symptoms, the drugs used to treat them, and different terminologies…",Individual Test Solutions,40,Yes,Yes,"['P', 'A', 'K', 'S', 'B']"
Desktop Support (New),https://www.shl.com/products/product-catalog/view/desktop-support-new/,"Desktop Support (New): Multi-choice test that measures the knowledge of networking, peripheral components, operating systems, troubleshooting and providing technical support.",Individual Test Solutions,40,Yes,Yes,"['P', 'A', 'K', 'S', 'B']"
Digital Advertising (New),https://www.shl.com/products/product-catalog/view/digital-advertising-new/,Digital Advertising (New): Multi-choice test that measures the candidate's knowledge about use of AdWords and tools to analyze ad performance on digital media.,Individual Test Solutions,40,Yes,Yes,"['P', 'A', 'K', 'S', 'B']"
Digital Readiness Development Report - IC,https://www.shl.com/products/product-catalog/view/digital-readiness-development-report/,Digital Readiness Development Report - IC: This participant-oriented report is aimed at individual contributors (non-managerial) and summarizes the way that they have described their typical style at…,Individual Test Solutions,40,Yes,Yes,"['P', 'A', 'K', 'S', 'B']"
Digital Readiness Development Report - Manager,https://www.shl.com/products/product-catalog/view/digital-readiness-development-report-manager/,Digital Readiness Development Report - Manager: This participant-oriented report is aimed employees with management responsibilities and summarizes the way that they have described their typical style at…,Individual Test Solutions,40,Yes,Yes,"['P', 'A', 'K', 'S', 'B']"
Docker (New),https://www.shl.com/products/product-catalog/view/docker-new/,"Docker (New): Multi-choice test that measures the knowledge of Docker container, data management, Docker performance and swarm.",Individual Test Solutions,40,Yes,Yes,"['P', 'A', 'K', 'S', 'B']"
Dojo (New),https://www.shl.com/products/product-catalog/view/dojo-new/,"Dojo (New): Multi-choice test that measures the knowledge of Dojo architecture, classes and libraries, styles, animation and Dojo queries.",Individual Test Solutions,40,Yes,Yes,"['P', 'A', 'K', 'S', 'B']"
